brand,model,motor,year,mileage,fuel,price
ABARTH,124,1.4 170,2017,44343,ESSENCE,38490
ABARTH,124,1.4 170,2019,54464,ESSENCE,34080
ABARTH,124,1.4 170,2018,32894,ESSENCE,37500
ABARTH,124,1.4 170,2020,44784,ESSENCE,39000
ABARTH,124,1.4 170,2020,87587,ESSENCE,32740
ABARTH,124,1.4 170,2018,42840,ESSENCE,36870
ABARTH,124,1.4 170,2020,42000,ESSENCE,32340
ABARTH,124,1.4 170,2020,27300,ESSENCE,34120
ABARTH,124,1.4 170,2018,63280,ESSENCE,35710
ABARTH,124,1.4 170,2018,45580,ESSENCE,29150
ABARTH,124,1.4 170,2019,19965,ESSENCE,42330
ABARTH,124,1.4 170,2020,71508,ESSENCE,36550
ABARTH,500,1.4 T-JET 165,2022,40447,ESSENCE,30230
ABARTH,500,1.4 T-JET 180,2023,26637,ESSENCE,37000
ABARTH,500,1.4 T-JET 180,2019,20188,ESSENCE,37460
ABARTH,500,1.4 T-JET 145,2019,62802,ESSENCE,17190
ABARTH,500,1.4 T-JET 180,2019,38976,ESSENCE,31960
ABARTH,500,1.4 T-JET 145,2022,10600,ESSENCE,22770
ABARTH,500,1.4 T-JET 180,2020,37804,ESSENCE,28000
ABARTH,500,595C E6D TEMP 1.4 TURBO 16V T-JET 165 CH BVM5 TURISMO,2020,66225,ESSENCE,23080
ABARTH,500,1.4 T-JET 140,2016,123068,ESSENCE,14970
ABARTH,500,1.4 T-JET 160,2018,57091,ESSENCE,22540
ABARTH,500,1.4 T-JET 165,2021,16906,ESSENCE,31600
ABARTH,500,1.4 T-JET 165,2018,81288,ESSENCE,22180
ABARTH,500,1.4 T-JET 145,2021,16008,ESSENCE,24690
ABARTH,500,1.4 T-JET 180,2019,37574,ESSENCE,32160
ABARTH,500,1.4 T-JET 180,2017,70149,ESSENCE,23780
ABARTH,500,1.4 T-JET 145,2018,56839,ESSENCE,22110
ABARTH,500,1.4 T-JET 145,2022,29404,ESSENCE,23630
ABARTH,500,1.4 T-JET 145,2018,36795,ESSENCE,21220
ABARTH,500,1.4 T-JET 145,2018,30017,ESSENCE,20680
ABARTH,500,1.4 T-JET 145,2022,6380,ESSENCE,23520
ABARTH,500,1.4 179,2011,46057,ESSENCE,31310
ABARTH,500,1.4 T-JET 165,2022,15455,ESSENCE,30760
ABARTH,500,1.4 T-JET 145,2021,10896,ESSENCE,25390
ABARTH,500,1.4 TURBO 180,2023,3815,ESSENCE,34860
ABARTH,500,1.4 179,2012,57452,ESSENCE,32840
ABARTH,500,1.4 T-JET 140,2016,119623,ESSENCE,16820
ABARTH,500,1.4 T-JET 165,2024,11,ESSENCE,31820
ABARTH,500,1.4 T-JET 165,2021,16100,ESSENCE,31010
ABARTH,500,ABARTH CABRIOLET 1.4 TURBO TURISMO,2018,89910,ESSENCE,20520
ABARTH,500,1.4 T-JET 160,2010,156599,ESSENCE,12030
ABARTH,500,1.4 T-JET 180,2019,43614,ESSENCE,30900
ABARTH,500,1.4 T-JET 165,2023,4323,ESSENCE,36560
ABARTH,500,1.4 TURBO 16V T-JET 145 CH BVM5 2P,2018,53824,ESSENCE,20690
ABARTH,500,1.4 T-JET 180,2018,98427,ESSENCE,20460
ABARTH,500,1.4 T-JET 180,2024,12,ESSENCE,38600
ABARTH,500,1.4 T-JET 135,2013,86210,ESSENCE,13890
ABARTH,500,1.4 T-JET 165,2021,38775,ESSENCE,26930
ABARTH,500,1.4 T-JET 165,2020,31500,ESSENCE,27580
ABARTH,500,1.4 T-JET 145,2020,11545,ESSENCE,21920
ABARTH,500,1.4 T-JET 145,2018,50646,ESSENCE,21730
ABARTH,500,1.4 T-JET 145,2022,19470,ESSENCE,24180
ABARTH,500,1.4 T-JET 145,2019,51845,ESSENCE,19580
ABARTH,500,1.4 T-JET 145,2018,60530,ESSENCE,19240
ABARTH,500,1.4 T-JET 165,2018,47816,ESSENCE,23100
ABARTH,500,1.4 T-JET 140,2017,67173,ESSENCE,16930
ABARTH,500,1.4 T-JET 165,2021,22387,ESSENCE,26430
ABARTH,500,1.4 T-JET 165,2022,10898,ESSENCE,29980
ABARTH,500,1.4 T-JET 160,2019,69648,ESSENCE,19410
ABARTH,500,1.4 T-JET 165,2024,12,ESSENCE,31850
ABARTH,500,1.4 T-JET 145,2019,54944,ESSENCE,19530
ABARTH,500,1.4 T-JET 145,2019,35905,ESSENCE,23370
ABARTH,500,1.4 T-JET 145,2019,41685,ESSENCE,17830
ABARTH,500,1.4 T-JET 160,2016,71344,ESSENCE,16220
ABARTH,500,1.4 T-JET 165,2020,43873,ESSENCE,24790
ABARTH,500,1.4 T-JET 145,2021,17360,ESSENCE,23500
ABARTH,500,1.4 T-JET 180,2019,111418,ESSENCE,22480
ABARTH,500,1.4 T-JET 165,2019,65881,ESSENCE,20020
ABARTH,500,1.4 T-JET 145,2017,69850,ESSENCE,19790
ABARTH,500,1.4 T-JET 145,2021,12320,ESSENCE,22370
ABARTH,500,1.4 T-JET 165,2021,24960,ESSENCE,31160
ABARTH,500,1.4 T-JET 180,2018,60664,ESSENCE,22040
ABARTH,500,1.4 T-JET 140,2017,87465,ESSENCE,20220
ABARTH,500,1.4 T-JET 180,2022,34856,ESSENCE,28740
ABARTH,500,1.4 T-JET 160,2013,92004,ESSENCE,20780
ABARTH,595,1.4I 16V 160 BVR,2018,117520,ESSENCE,17490
ABARTH,GRANDE PUNTO,1.4 TJET 155,2010,94600,ESSENCE,10980
ABARTH,PUNTO EVO,1.4 MULTIAIR 165,2011,153900,ESSENCE,12520
ABARTH,PUNTO EVO,1.4 MULTIAIR 165,2013,80230,ESSENCE,19770
ABARTH,SCORPION,E,1971,11,ESSENCE,24070
